,Catchment,K
0,1,3.9000000000000026
1,2,22.400000000000052
2,3,11.099999999999978
3,4,6.499999999999994
4,5,27.90000000000013
5,6,4.6000000000000005
6,7,20.10000000000002
7,8,37.600000000000264
8,9,12.799999999999972
9,10,54.70000000000051
10,11,19.900000000000016
11,12,25.7000000000001
12,13,13.19999999999997
13,14,14.199999999999967
14,15,24.700000000000085
15,16,11.599999999999977
16,17,5.499999999999997
17,18,21.50000000000004
18,19,16.59999999999997
19,20,18.7
20,21,14.299999999999967
21,22,43.60000000000035
22,23,22.90000000000006
23,24,6.699999999999993
24,25,11.499999999999977
25,26,17.899999999999988
26,27,8.699999999999987
27,28,4.999999999999999
28,29,43.10000000000034
29,30,34.70000000000022
30,31,57.400000000000546
31,32,24.900000000000087
